StockCode,total_revenue,total_quantity_sold,Average Selling Price,revenue_generated_category,quantity_sold_category,average_selling_price_category,revenue_from_high_value_customers,quantitysold_to_high_value_customer
15058B,707.25,95,7.4447368421052635,Medium Revenue,Low Qunatity,Very High 80-100% Range,556.2,76.0
15058C,744.05,159,4.679559748427673,Medium Revenue,Medium Quantity,Very High 80-100% Range,561.7,126.0
15060B,1197.87,335,3.5757313432835818,High Revenue,Medium Quantity,High 60-80% Range,747.87,215.0
16008,266.87,2136,0.12493913857677903,Medium Revenue,High Quantity,Very Low 0-20% Range,122.41,1099.0
16010,3.5999999999999996,30,0.11999999999999998,Low Revenue,Low Qunatity,Very Low 0-20% Range,2.88,24.0
16011,347.13,1653,0.21,Medium Revenue,High Quantity,Very Low 0-20% Range,230.37,1097.0
16012,231.0,1100,0.21,Medium Revenue,High Quantity,Very Low 0-20% Range,99.33,473.0
16014,4209.76,13028,0.32313171630334664,High Revenue,High Quantity,Very Low 0-20% Range,2636.44,8182.0
16015,289.98,662,0.43803625377643507,Medium Revenue,Medium Quantity,Very Low 0-20% Range,143.78,364.0
16016,815.45,993,0.8211983887210473,Medium Revenue,High Quantity,Low 20-40% Range,387.95,487.0
16020C,5.1,6,0.85,Low Revenue,Low Qunatity,Low 20-40% Range,5.1,6.0
16033,100.79999999999998,840,0.11999999999999998,Low Revenue,High Quantity,Very Low 0-20% Range,86.39999999999999,720.0
16043,11.759999999999998,98,0.11999999999999998,Low Revenue,Low Qunatity,Very Low 0-20% Range,8.879999999999999,74.0
16045,320.0,7600,0.042105263157894736,Medium Revenue,High Quantity,Very Low 0-20% Range,116.0,2700.0
16046,56.949999999999996,67,0.85,Low Revenue,Low Qunatity,Low 20-40% Range,21.25,25.0
16048,139.32,1101,0.12653950953678472,Low Revenue,High Quantity,Very Low 0-20% Range,86.39999999999999,720.0
16049,82.08,504,0.16285714285714287,Low Revenue,Medium Quantity,Very Low 0-20% Range,49.68,324.0
16052,85.13,419,0.2031742243436754,Low Revenue,Medium Quantity,Very Low 0-20% Range,65.92999999999999,347.0
16054,123.24000000000001,1022,0.120587084148728,Low Revenue,High Quantity,Very Low 0-20% Range,57.720000000000006,476.0
16151A,61.25,49,1.25,Low Revenue,Low Qunatity,Low 20-40% Range,58.75,47.0
16156L,126.0,300,0.42,Low Revenue,Medium Quantity,Very Low 0-20% Range,73.5,175.0
16156S,2163.0,5400,0.40055555555555555,High Revenue,High Quantity,Very Low 0-20% Range,1533.0,3900.0
16161G,57.5,575,0.1,Low Revenue,Medium Quantity,Very Low 0-20% Range,22.5,225.0
16161M,10.5,25,0.42,Low Revenue,Low Qunatity,Very Low 0-20% Range,10.5,25.0
16161P,2455.92,5876,0.41795779441797143,High Revenue,High Quantity,Very Low 0-20% Range,1449.0,3450.0
16161U,1435.5,3475,0.4130935251798561,High Revenue,High Quantity,Very Low 0-20% Range,1152.0,2800.0
16162L,11.05,17,0.65,Low Revenue,Low Qunatity,Very Low 0-20% Range,5.2,8.0
16162M,10.92,26,0.42,Low Revenue,Low Qunatity,Very Low 0-20% Range,7.14,17.0
16168M,118.02,281,0.42,Low Revenue,Medium Quantity,Very Low 0-20% Range,61.74,147.0
16169E,1661.46,4013,0.4140194368303015,High Revenue,High Quantity,Very Low 0-20% Range,765.42,1851.0
16169K,63.0,150,0.42,Low Revenue,Medium Quantity,Very Low 0-20% Range,42.0,100.0
16169M,256.2,610,0.42,Medium Revenue,Medium Quantity,Very Low 0-20% Range,94.5,225.0
16169N,10.5,25,0.42,Low Revenue,Low Qunatity,Very Low 0-20% Range,0.0,0.0
16169P,21.0,50,0.42,Low Revenue,Low Qunatity,Very Low 0-20% Range,10.5,25.0
16202A,3.5,7,0.5,Low Revenue,Low Qunatity,Very Low 0-20% Range,2.0,4.0
16202B,14.5,29,0.5,Low Revenue,Low Qunatity,Very Low 0-20% Range,14.5,29.0
16202E,7.5,15,0.5,Low Revenue,Low Qunatity,Very Low 0-20% Range,6.0,12.0
16206B,2.5,2,1.25,Low Revenue,Low Qunatity,Low 20-40% Range,0.0,0.0
16207A,38.35000000000001,13,2.9500000000000006,Low Revenue,Low Qunatity,High 60-80% Range,38.35000000000001,13.0
16207B,11.31,4,2.8275,Low Revenue,Low Qunatity,High 60-80% Range,2.46,1.0
16216,222.34,3236,0.06870828182941904,Medium Revenue,High Quantity,Very Low 0-20% Range,145.58,2165.0
16218,211.6,3200,0.066125,Medium Revenue,High Quantity,Very Low 0-20% Range,136.4,2105.0
16219,292.97999999999996,2663,0.11001877581674802,Medium Revenue,High Quantity,Very Low 0-20% Range,204.42,1367.0
16225,561.84,732,0.7675409836065574,Medium Revenue,Medium Quantity,Very Low 0-20% Range,194.03,153.0
16235,443.85,2275,0.1950989010989011,Medium Revenue,High Quantity,Very Low 0-20% Range,234.9,1280.0
16236,213.64,1044,0.2046360153256705,Medium Revenue,High Quantity,Very Low 0-20% Range,130.06,646.0
16237,796.83,4173,0.1909489575844716,Medium Revenue,High Quantity,Very Low 0-20% Range,551.13,3003.0
16238,205.66,976,0.21071721311475408,Medium Revenue,High Quantity,Very Low 0-20% Range,110.11,521.0
16244B,7.85,7,1.1214285714285714,Low Revenue,Low Qunatity,Low 20-40% Range,2.0,4.0
16248B,16.25,13,1.25,Low Revenue,Low Qunatity,Low 20-40% Range,6.25,5.0
16254,27.91,31,0.9003225806451612,Low Revenue,Low Qunatity,Low 20-40% Range,5.81,5.0
16258A,119.57,357,0.3349299719887955,Low Revenue,Medium Quantity,Very Low 0-20% Range,55.37,145.0
16259,286.6,3056,0.09378272251308901,Medium Revenue,High Quantity,Very Low 0-20% Range,109.72,1196.0
17001,20.88,72,0.29,Low Revenue,Low Qunatity,Very Low 0-20% Range,0.0,0.0
17003,5901.93,22711,0.25987098762714106,High Revenue,High Quantity,Very Low 0-20% Range,3849.8,15154.0
17007B,50.400000000000006,24,2.1,Low Revenue,Low Qunatity,Medium 40-60% Range,25.200000000000003,12.0
17011F,46.550000000000004,56,0.83125,Low Revenue,Low Qunatity,Low 20-40% Range,44.45,55.0
17012A,209.2,240,0.8716666666666666,Medium Revenue,Medium Quantity,Low 20-40% Range,130.04999999999998,141.0
17012B,366.45,401,0.9138403990024937,Medium Revenue,Medium Quantity,Low 20-40% Range,265.2,276.0
17012C,344.34999999999997,363,0.9486225895316803,Medium Revenue,Medium Quantity,Low 20-40% Range,151.29999999999998,134.0
17012D,310.25,333,0.9316816816816816,Medium Revenue,Medium Quantity,Low 20-40% Range,143.64999999999998,145.0
17012E,36.75,53,0.6933962264150944,Low Revenue,Low Qunatity,Very Low 0-20% Range,12.75,5.0
17012F,298.45,353,0.8454674220963172,Medium Revenue,Medium Quantity,Low 20-40% Range,141.95,163.0
17013D,257.88,532,0.48473684210526313,Medium Revenue,Medium Quantity,Very Low 0-20% Range,165.51,315.0
17014A,67.83,154,0.44045454545454543,Low Revenue,Medium Quantity,Very Low 0-20% Range,0.0,0.0
17021,632.34,2391,0.2644667503136763,Medium Revenue,High Quantity,Very Low 0-20% Range,498.24,1944.0
17028J,2.52,6,0.42,Low Revenue,Low Qunatity,Very Low 0-20% Range,0.0,0.0
17038,128.1,1401,0.09143468950749464,Low Revenue,High Quantity,Very Low 0-20% Range,84.8,968.0
17084A,42.0,200,0.21,Low Revenue,Medium Quantity,Very Low 0-20% Range,10.5,50.0
17084J,47.25,225,0.21,Low Revenue,Medium Quantity,Very Low 0-20% Range,5.25,25.0
17084N,212.75,1025,0.2075609756097561,Medium Revenue,High Quantity,Very Low 0-20% Range,92.0,450.0
17084P,73.29,349,0.21000000000000002,Low Revenue,Medium Quantity,Very Low 0-20% Range,15.75,75.0
17084R,529.92,2592,0.20444444444444443,Medium Revenue,High Quantity,Very Low 0-20% Range,212.39999999999998,1080.0
17090A,76.85,73,1.0527397260273972,Low Revenue,Low Qunatity,Low 20-40% Range,7.5,6.0
17090D,36.25,29,1.25,Low Revenue,Low Qunatity,Low 20-40% Range,18.75,15.0
17091A,99.29,172,0.5772674418604652,Low Revenue,Medium Quantity,Very Low 0-20% Range,69.9,129.0
17091J,778.0,1910,0.4073298429319372,Medium Revenue,High Quantity,Very Low 0-20% Range,487.08,1236.0
17096,443.76000000000005,2516,0.17637519872813992,Medium Revenue,High Quantity,Very Low 0-20% Range,80.37,401.0
17107D,395.25,155,2.55,Medium Revenue,Medium Quantity,High 60-80% Range,206.54999999999998,81.0
17109D,32.349999999999994,61,0.530327868852459,Low Revenue,Low Qunatity,Very Low 0-20% Range,28.21,57.0
17129F,291.25,427,0.6820843091334895,Medium Revenue,Medium Quantity,Very Low 0-20% Range,219.67,325.0
17136A,31.83,380,0.08376315789473683,Low Revenue,Medium Quantity,Very Low 0-20% Range,7.02,78.0
17164B,12.18,29,0.42,Low Revenue,Low Qunatity,Very Low 0-20% Range,5.88,14.0
17165D,28.35,27,1.05,Low Revenue,Low Qunatity,Low 20-40% Range,10.5,10.0
17174,1.68,4,0.42,Low Revenue,Low Qunatity,Very Low 0-20% Range,1.68,4.0
17191A,15.0,4,3.75,Low Revenue,Low Qunatity,High 60-80% Range,0.0,0.0
18007,375.12,5808,0.06458677685950413,Medium Revenue,High Quantity,Very Low 0-20% Range,4.680000000000001,26.0
18094C,138.1,122,1.131967213114754,Low Revenue,Medium Quantity,Low 20-40% Range,51.849999999999994,53.0
18097A,12.75,5,2.55,Low Revenue,Low Qunatity,High 60-80% Range,0.0,0.0
18097C,1336.2,620,2.1551612903225807,High Revenue,Medium Quantity,Medium 40-60% Range,253.34999999999997,105.0
18098C,522.85,187,2.795989304812834,Medium Revenue,Medium Quantity,High 60-80% Range,276.55,97.0
20615,178.14000000000001,179,0.9951955307262571,Low Revenue,Medium Quantity,Low 20-40% Range,98.04,83.0
20616,122.78,134,0.9162686567164179,Low Revenue,Medium Quantity,Low 20-40% Range,76.73,78.0
20617,112.54,54,2.084074074074074,Low Revenue,Low Qunatity,Medium 40-60% Range,91.54,44.0
20618,137.88000000000002,68,2.0276470588235296,Low Revenue,Low Qunatity,Medium 40-60% Range,121.08000000000001,60.0
20619,155.83,118,1.3205932203389832,Low Revenue,Medium Quantity,Medium 40-60% Range,136.93,109.0
20622,227.58,157,1.4495541401273886,Medium Revenue,Medium Quantity,Medium 40-60% Range,158.28,124.0
20652,104.76,78,1.343076923076923,Low Revenue,Low Qunatity,Medium 40-60% Range,38.51,25.0
20653,28.67,21,1.3652380952380954,Low Revenue,Low Qunatity,Medium 40-60% Range,4.92,2.0
20654,81.69,69,1.1839130434782608,Low Revenue,Low Qunatity,Low 20-40% Range,64.19,55.0
20655,94.11,77,1.2222077922077923,Low Revenue,Low Qunatity,Low 20-40% Range,81.61,67.0
20657,76.39,61,1.2522950819672132,Low Revenue,Low Qunatity,Low 20-40% Range,35.14,28.0
20658,256.25,205,1.25,Medium Revenue,Medium Quantity,Low 20-40% Range,186.25,149.0
20659,140.81,95,1.4822105263157894,Low Revenue,Low Qunatity,Medium 40-60% Range,110.81,71.0
20661,35.07,9,3.8966666666666665,Low Revenue,Low Qunatity,High 60-80% Range,32.12,8.0
20662,23.27,5,4.654,Low Revenue,Low Qunatity,Very High 80-100% Range,23.27,5.0
20663,11.690000000000001,3,3.896666666666667,Low Revenue,Low Qunatity,High 60-80% Range,11.690000000000001,3.0
20664,17.700000000000003,6,2.9500000000000006,Low Revenue,Low Qunatity,High 60-80% Range,8.850000000000001,3.0
20665,552.75,189,2.9246031746031744,Medium Revenue,Medium Quantity,High 60-80% Range,269.55,93.0
20666,11.8,4,2.95,Low Revenue,Low Qunatity,High 60-80% Range,2.95,1.0
20667,2.95,1,2.95,Low Revenue,Low Qunatity,High 60-80% Range,0.0,0.0
20668,1382.64,12498,0.11062890062409986,High Revenue,High Quantity,Very Low 0-20% Range,912.72,8390.0
20669,222.5,178,1.25,Medium Revenue,Medium Quantity,Low 20-40% Range,157.5,126.0
20670,29.28,8,3.66,Low Revenue,Low Qunatity,High 60-80% Range,17.48,4.0
20671,12.5,10,1.25,Low Revenue,Low Qunatity,Low 20-40% Range,10.0,8.0
20674,1226.56,1035,1.1850821256038646,High Revenue,High Quantity,Low 20-40% Range,931.5600000000001,799.0
20675,2290.8,1963,1.16698930208864,High Revenue,High Quantity,Low 20-40% Range,1690.8000000000002,1483.0
20676,3708.9900000000002,3216,1.1532929104477612,High Revenue,High Quantity,Low 20-40% Range,3132.7400000000002,2755.0
20677,2678.48,2333,1.1480840120017146,High Revenue,High Quantity,Low 20-40% Range,2127.23,1892.0
20679,6533.570000000001,1196,5.4628511705685625,High Revenue,High Quantity,Very High 80-100% Range,5504.22,1023.0
20681,175.5,54,3.25,Low Revenue,Low Qunatity,High 60-80% Range,130.0,40.0
20682,1955.91,625,3.1294560000000002,High Revenue,Medium Quantity,High 60-80% Range,1419.66,460.0
20684,169.0,52,3.25,Low Revenue,Low Qunatity,High 60-80% Range,68.25,21.0
20685,21314.25,3325,6.410300751879699,High Revenue,High Quantity,Very High 80-100% Range,18434.25,2953.0
20686,689.13,211,3.2660189573459717,Medium Revenue,Medium Quantity,High 60-80% Range,507.13,155.0
20694,90.0,24,3.75,Low Revenue,Low Qunatity,High 60-80% Range,71.25,19.0
20695,21.25,5,4.25,Low Revenue,Low Qunatity,High 60-80% Range,8.5,2.0
20696,60.0,16,3.75,Low Revenue,Low Qunatity,High 60-80% Range,41.25,11.0
20697,48.449999999999996,19,2.55,Low Revenue,Low Qunatity,High 60-80% Range,40.8,16.0
20698,40.8,16,2.55,Low Revenue,Low Qunatity,High 60-80% Range,35.699999999999996,14.0
20699,58.65,23,2.55,Low Revenue,Low Qunatity,High 60-80% Range,5.1,2.0
20700,22.5,6,3.75,Low Revenue,Low Qunatity,High 60-80% Range,3.75,1.0
20701,7.5,2,3.75,Low Revenue,Low Qunatity,High 60-80% Range,0.0,0.0
20702,340.0,80,4.25,Medium Revenue,Low Qunatity,High 60-80% Range,212.5,50.0
20703,4.25,1,4.25,Low Revenue,Low Qunatity,High 60-80% Range,4.25,1.0
20704,452.85,163,2.778220858895706,Medium Revenue,Medium Quantity,High 60-80% Range,228.9,102.0
20705,390.7,126,3.100793650793651,Medium Revenue,Medium Quantity,High 60-80% Range,211.6,88.0
20707,179.27,142,1.2624647887323945,Low Revenue,Medium Quantity,Low 20-40% Range,133.02,105.0
20711,7037.96,3849,1.8285164977916342,High Revenue,High Quantity,Medium 40-60% Range,6100.54,3377.0
20712,10033.66,5284,1.8988758516275548,High Revenue,High Quantity,Medium 40-60% Range,8931.26,4743.0
20713,17004.46,9337,1.8211909606940129,High Revenue,High Quantity,Medium 40-60% Range,15538.69,8585.0
20716,319.75,271,1.179889298892989,Medium Revenue,Medium Quantity,Low 20-40% Range,237.25,205.0
20717,1726.88,1392,1.2405747126436781,High Revenue,High Quantity,Low 20-40% Range,1065.63,863.0
20718,3941.56,3249,1.2131609726069559,High Revenue,High Quantity,Low 20-40% Range,2531.81,2106.0
20719,3709.99,4612,0.8044210754553338,High Revenue,High Quantity,Very Low 0-20% Range,2692.19,3384.0
20723,4427.55,5423,0.8164392402729117,High Revenue,High Quantity,Low 20-40% Range,3124.05,3813.0
20724,6896.65,8597,0.8022158892636966,High Revenue,High Quantity,Very Low 0-20% Range,4697.05,5841.0
20725,21368.5,13394,1.5953785276989696,High Revenue,High Quantity,Medium 40-60% Range,17237.6,10848.0
20726,9572.16,5912,1.619106901217862,High Revenue,High Quantity,Medium 40-60% Range,7297.01,4521.0
20727,15876.0,9904,1.6029886914378029,High Revenue,High Quantity,Medium 40-60% Range,11583.3,7266.0
20728,13903.83,8631,1.6109176225234618,High Revenue,High Quantity,Medium 40-60% Range,9688.98,6022.0
20731,92.5,74,1.25,Low Revenue,Low Qunatity,Low 20-40% Range,60.0,48.0
20733,671.05,897,0.7481047937569676,Medium Revenue,High Quantity,Very Low 0-20% Range,583.5,794.0
20735,120.45,157,0.7671974522292994,Low Revenue,Medium Quantity,Very Low 0-20% Range,111.1,146.0
20748,675.75,53,12.75,Medium Revenue,Low Qunatity,Very High 80-100% Range,255.0,20.0
20749,10412.81,1499,6.946504336224149,High Revenue,High Quantity,Very High 80-100% Range,7158.259999999999,1054.0
20750,6242.599999999999,876,7.126255707762557,High Revenue,High Quantity,Very High 80-100% Range,3499.85,499.0
20751,1415.2800000000002,688,2.0570930232558142,High Revenue,Medium Quantity,Medium 40-60% Range,865.08,426.0
20752,564.9000000000001,269,2.1000000000000005,Medium Revenue,Medium Quantity,Medium 40-60% Range,367.5,175.0
20754,1912.8600000000001,939,2.0371246006389776,High Revenue,High Quantity,Medium 40-60% Range,1312.38,639.0
20755,212.5,250,0.85,Medium Revenue,Medium Quantity,Low 20-40% Range,77.35,91.0
20756,48.449999999999996,57,0.85,Low Revenue,Low Qunatity,Low 20-40% Range,11.899999999999999,14.0
20757,140.18,164,0.8547560975609757,Low Revenue,Medium Quantity,Low 20-40% Range,81.53,95.0
20758,136.85,161,0.85,Low Revenue,Medium Quantity,Low 20-40% Range,59.5,70.0
20759,54.4,64,0.85,Low Revenue,Low Qunatity,Low 20-40% Range,29.749999999999996,35.0
20760,53.55,63,0.85,Low Revenue,Low Qunatity,Low 20-40% Range,17.849999999999998,21.0
20761,337.42,88,3.834318181818182,Medium Revenue,Low Qunatity,High 60-80% Range,138.67,35.0
20762,367.46,97,3.788247422680412,Medium Revenue,Low Qunatity,High 60-80% Range,179.96,47.0
20763,174.96,67,2.6113432835820896,Low Revenue,Low Qunatity,High 60-80% Range,111.21000000000001,50.0
20764,423.63,110,3.8511818181818183,Medium Revenue,Medium Quantity,High 60-80% Range,176.13,44.0
20765,367.34,94,3.9078723404255316,Medium Revenue,Low Qunatity,High 60-80% Range,187.34,46.0
20766,362.08,97,3.732783505154639,Medium Revenue,Low Qunatity,High 60-80% Range,129.58,35.0
20767,382.21999999999997,148,2.5825675675675672,Medium Revenue,Medium Quantity,High 60-80% Range,122.11999999999999,46.0
20768,304.96,125,2.4396799999999996,Medium Revenue,Medium Quantity,High 60-80% Range,86.56,33.0
20769,139.97,53,2.6409433962264153,Low Revenue,Low Qunatity,High 60-80% Range,94.07,35.0
20770,241.35,101,2.3896039603960397,Medium Revenue,Low Qunatity,High 60-80% Range,56.099999999999994,22.0
20771,163.06,63,2.5882539682539685,Low Revenue,Low Qunatity,High 60-80% Range,96.75999999999999,37.0
20772,468.15999999999997,192,2.438333333333333,Medium Revenue,Medium Quantity,High 60-80% Range,137.56,53.0
20773,92.39999999999999,56,1.65,Low Revenue,Low Qunatity,Medium 40-60% Range,51.15,31.0
20774,77.55,47,1.65,Low Revenue,Low Qunatity,Medium 40-60% Range,41.25,25.0
20775,105.6,64,1.65,Low Revenue,Low Qunatity,Medium 40-60% Range,31.349999999999998,19.0
20777,141.89999999999998,86,1.6499999999999997,Low Revenue,Low Qunatity,Medium 40-60% Range,41.25,25.0
20778,24.75,15,1.65,Low Revenue,Low Qunatity,Medium 40-60% Range,16.5,10.0
20780,142.55,25,5.702000000000001,Low Revenue,Low Qunatity,Very High 80-100% Range,93.14,16.0
20781,150.54,30,5.018,Low Revenue,Low Qunatity,Very High 80-100% Range,71.37,13.0
20782,188.42,34,5.541764705882352,Low Revenue,Low Qunatity,Very High 80-100% Range,117.05,21.0
20785,523.3000000000001,14,37.37857142857143,Medium Revenue,Low Qunatity,Very High 80-100% Range,443.40000000000003,12.0
20793,54.0,8,6.75,Low Revenue,Low Qunatity,Very High 80-100% Range,0.0,0.0
20794,162.14999999999998,65,2.4946153846153845,Low Revenue,Low Qunatity,High 60-80% Range,111.14999999999999,45.0
20795,79.80000000000001,38,2.1,Low Revenue,Low Qunatity,Medium 40-60% Range,37.800000000000004,18.0
20796,80.85,49,1.65,Low Revenue,Low Qunatity,Medium 40-60% Range,57.74999999999999,35.0
20798,75.60000000000001,36,2.1,Low Revenue,Low Qunatity,Medium 40-60% Range,46.2,22.0
20801,668.22,810,0.824962962962963,Medium Revenue,High Quantity,Low 20-40% Range,477.78000000000003,606.0
20802,710.64,636,1.1173584905660376,Medium Revenue,Medium Quantity,Low 20-40% Range,374.7,370.0
20803,351.33,869,0.4042922899884925,Medium Revenue,High Quantity,Very Low 0-20% Range,250.05,619.0
20816,15.6,8,1.95,Low Revenue,Low Qunatity,Medium 40-60% Range,0.0,0.0
20818,20.0,12,1.6666666666666667,Low Revenue,Low Qunatity,Medium 40-60% Range,12.5,10.0
20819,153.71,40,3.84275,Low Revenue,Low Qunatity,High 60-80% Range,44.96,11.0
20820,24.75,5,4.95,Low Revenue,Low Qunatity,Very High 80-100% Range,9.9,2.0
20821,79.2,16,4.95,Low Revenue,Low Qunatity,Very High 80-100% Range,4.95,1.0
20823,129.56,164,0.79,Low Revenue,Medium Quantity,Very Low 0-20% Range,97.96000000000001,124.0
20826,128.4,276,0.46521739130434786,Low Revenue,Medium Quantity,Very Low 0-20% Range,101.64,234.0
20827,34.32,88,0.39,Low Revenue,Low Qunatity,Very Low 0-20% Range,34.32,88.0
20828,2129.5499999999997,869,2.4505753739930953,High Revenue,High Quantity,High 60-80% Range,1114.65,471.0
20829,2477.9900000000002,1240,1.9983790322580648,High Revenue,High Quantity,Medium 40-60% Range,1774.49,905.0
20830,157.5,75,2.1,Low Revenue,Low Qunatity,Medium 40-60% Range,115.50000000000001,55.0
20831,250.26000000000002,151,1.6573509933774835,Medium Revenue,Medium Quantity,Medium 40-60% Range,105.06,65.0
20832,517.68,1010,0.5125544554455445,Medium Revenue,High Quantity,Very Low 0-20% Range,363.61,681.0
20835,54.779999999999994,66,0.83,Low Revenue,Low Qunatity,Low 20-40% Range,49.8,60.0
20836,111.21999999999998,134,0.8299999999999998,Low Revenue,Medium Quantity,Low 20-40% Range,69.72,84.0
20837,122.55,117,1.0474358974358975,Low Revenue,Medium Quantity,Low 20-40% Range,49.8,60.0
20838,252.33999999999997,294,0.8582993197278911,Medium Revenue,Medium Quantity,Low 20-40% Range,157.14,182.0
20839,350.64,380,0.9227368421052631,Medium Revenue,Medium Quantity,Low 20-40% Range,123.84,128.0
20840,348.28,404,0.862079207920792,Medium Revenue,Medium Quantity,Low 20-40% Range,188.48,216.0
20845,120.64999999999999,19,6.35,Low Revenue,Low Qunatity,Very High 80-100% Range,63.5,10.0
20846,745.47,615,1.2121463414634146,Medium Revenue,Medium Quantity,Low 20-40% Range,499.22,418.0
20847,127.5,34,3.75,Low Revenue,Low Qunatity,High 60-80% Range,78.75,21.0
20848,61.95,21,2.95,Low Revenue,Low Qunatity,High 60-80% Range,32.45,11.0
20851,53.550000000000004,9,5.95,Low Revenue,Low Qunatity,Very High 80-100% Range,29.75,5.0
20854,256.09999999999997,166,1.5427710843373492,Medium Revenue,Medium Quantity,Medium 40-60% Range,168.64999999999998,113.0
20856,178.2,108,1.65,Low Revenue,Low Qunatity,Medium 40-60% Range,118.8,72.0
20857,52.8,32,1.65,Low Revenue,Low Qunatity,Medium 40-60% Range,11.549999999999999,7.0
20861,4.2,2,2.1,Low Revenue,Low Qunatity,Medium 40-60% Range,2.1,1.0
20866,346.09,295,1.173186440677966,Medium Revenue,Medium Quantity,Low 20-40% Range,126.39,101.0
20867,208.97,169,1.236508875739645,Medium Revenue,Medium Quantity,Low 20-40% Range,97.72,80.0
20868,157.70000000000002,377,0.41830238726790453,Low Revenue,Medium Quantity,Very Low 0-20% Range,25.400000000000002,51.0
20869,52.650000000000006,135,0.39000000000000007,Low Revenue,Medium Quantity,Very Low 0-20% Range,16.380000000000003,42.0
20878,31.25,25,1.25,Low Revenue,Low Qunatity,Low 20-40% Range,18.75,15.0
20886,828.0,440,1.8818181818181818,Medium Revenue,Medium Quantity,Medium 40-60% Range,590.1,318.0
20892,12.75,1,12.75,Low Revenue,Low Qunatity,Very High 80-100% Range,0.0,0.0
20893,553.8,253,2.1889328063241105,Medium Revenue,Medium Quantity,Medium 40-60% Range,259.95,121.0
20894,73.75,25,2.95,Low Revenue,Low Qunatity,High 60-80% Range,29.5,10.0
20897,212.64999999999998,79,2.691772151898734,Medium Revenue,Low Qunatity,High 60-80% Range,5.9,2.0
20898,73.75,25,2.95,Low Revenue,Low Qunatity,High 60-80% Range,17.7,6.0
20901,25.4,4,6.35,Low Revenue,Low Qunatity,Very High 80-100% Range,12.7,2.0
20902,31.75,5,6.35,Low Revenue,Low Qunatity,Very High 80-100% Range,6.35,1.0
20903,114.3,18,6.35,Low Revenue,Low Qunatity,Very High 80-100% Range,57.15,9.0
20906,8.850000000000001,3,2.9500000000000006,Low Revenue,Low Qunatity,High 60-80% Range,8.850000000000001,3.0
20910,50.8,8,6.35,Low Revenue,Low Qunatity,Very High 80-100% Range,38.099999999999994,6.0
20914,13759.730000000001,4891,2.8132754038029035,High Revenue,High Quantity,High 60-80% Range,9609.980000000001,3410.0
20931,741.1000000000001,246,3.0126016260162607,Medium Revenue,Medium Quantity,High 60-80% Range,396.15000000000003,133.0
20932,480.85,177,2.716666666666667,Medium Revenue,Medium Quantity,High 60-80% Range,325.75,121.0
20933,71.05,23,3.0891304347826085,Low Revenue,Low Qunatity,High 60-80% Range,44.25,15.0
20934,261.6,48,5.45,Medium Revenue,Low Qunatity,Very High 80-100% Range,103.55000000000001,19.0
